"lang"
{
	"Language"		"SChinese"
"DOTA_Tooltip_ability_mjz_phoenix_supernova_hp_damage_per_sec"			"%每秒造成自身最大生命值伤害："
"DOTA_Tooltip_ability_mjz_phoenix_supernova_stun_duration"				"眩晕持续时间："
"DOTA_Tooltip_ability_mjz_phoenix_supernova_max_hero_attacks"			"击碎所需攻击次数："
"DOTA_Tooltip_ability_mjz_phoenix_supernova_max_hero_attacks_scepter"   "神杖升级摧毁所需攻击次数："
"DOTA_Tooltip_ability_mjz_phoenix_supernova_aoe_scepter"				"神杖升级作用范围："
"DOTA_Tooltip_modifier_mjz_phoenix_supernova_caster"					"恒星形态"
"DOTA_Tooltip_modifier_mjz_phoenix_supernova_caster_Description"		"重生前炙烤敌人。"
"DOTA_Tooltip_modifier_mjz_phoenix_supernova_burn"							"恒星灼烧"
"DOTA_Tooltip_modifier_mjz_phoenix_supernova_burn_Description"				"每秒受到%dMODIFIER_PROPERTY_TOOLTIP%点伤害。"    
	"DOTA_Tooltip_ability_mjz_puck_illusory_orb"				"幻象法球"
	"DOTA_Tooltip_ability_mjz_puck_illusory_orb_Description"	"帕克向直线方向发出一个魔法球，对经过路径上的敌人造成伤害。在幻象法球飞行过程中，帕克可以使用灵动之翼来传送到法球所在的位置。"
	"DOTA_Tooltip_ability_mjz_puck_illusory_orb_Lore"			"顽皮的仙女龙很喜欢捉弄他人，一下子消失，然后在他们想不到的地方出现。"
	"DOTA_Tooltip_ability_mjz_puck_illusory_orb_Note0"	"幻象法球在飞行途中提供顺畅视野。"
	"DOTA_Tooltip_ability_mjz_puck_illusory_orb_Note1"	"将自己传送到幻象法球可以躲避攻击和技能弹道。"
	"DOTA_Tooltip_ability_mjz_puck_illusory_orb_max_distance"					"最大距离："
	"DOTA_Tooltip_ability_mjz_puck_illusory_orb_damage"							"基础伤害："
	"DOTA_Tooltip_ability_mjz_puck_illusory_orb_intelligence_damage"			"%智力伤害："
	"DOTA_Tooltip_ability_mjz_puck_ethereal_jaunt"	"灵动之翼"
	"DOTA_Tooltip_ability_mjz_puck_ethereal_jaunt_Description"	"让帕克能传送到幻象法球所在的位置。"
"DOTA_Tooltip_ability_mjz_pudge_dismember"											"肢解"
"DOTA_Tooltip_ability_mjz_pudge_dismember_Description"								"持续施法 - 帕吉撕咬一个敌方单位，使其失去行动能力并受到持续伤害。帕吉将回复与伤害量相等的生命。"
"DOTA_Tooltip_ability_mjz_pudge_dismember_Lore"										"“等我干掉这些蠢货以后，就可以把它们做成肉饼了！”"
"DOTA_Tooltip_ability_mjz_pudge_dismember_Note0"									"即使肢解的目标在受到作用的过程中隐身，还是不会脱离肢解的作用。"
"DOTA_Tooltip_ability_mjz_pudge_dismember_dismember_damage"							"每秒伤害："
"DOTA_Tooltip_ability_mjz_pudge_dismember_strength_damage"      					"力量值伤害系数："
"DOTA_Tooltip_ability_mjz_pudge_dismember_duration"      					        "持续时间："
"DOTA_Tooltip_ability_mjz_pudge_dismember_scepter_aoe"      					    "神杖升级作用范围："
"DOTA_Tooltip_ability_mjz_pudge_dismember_scepter_cooldown"      					"神杖升级冷却时间："
"DOTA_Tooltip_ability_mjz_pudge_dismember_aghanim_description"						"减少冷却时间，增加作用范围。"
"DOTA_Tooltip_modifier_mjz_pudge_dismember"					                        "肢解"
"DOTA_Tooltip_modifier_mjz_pudge_dismember_Description"		                        "正在被帕吉肢解。"
"DOTA_Tooltip_ability_special_bonus_unique_mjz_pudge_dismember_strength_damage"	    "+{s:value} 肢解力量伤害"
"DOTA_Tooltip_ability_special_bonus_unique_mjz_pudge_dismember_duration"	        "+{s:value}秒 肢解持续时间"
    "DOTA_Tooltip_ability_mjz_pudge_flesh_heap"	            "腐肉堆积"
    "DOTA_Tooltip_ability_mjz_pudge_flesh_heap_Description"	"屠夫由无数腐烂的尸体堆积而成，这个技能让他能够积聚更多的腐肉，并且拥有额外魔法抗性。"
    "DOTA_Tooltip_ability_mjz_pudge_flesh_heap_Lore"	    "屠夫赋予“肉盾”这个词新的含义。"
    "DOTA_Tooltip_ability_mjz_pudge_flesh_heap_magic_damage_reduction_pct"	        "%魔法抗性加成："
    "DOTA_Tooltip_ability_mjz_pudge_flesh_heap_primary_attribute_per"	            "%基础力量加成："
    "DOTA_Tooltip_ability_special_bonus_unique_mjz_pudge_0301"	"+{s:value}% 腐肉堆积魔法抗性"
    "DOTA_Tooltip_ability_special_bonus_unique_mjz_pudge_0302"	"+{s:value}% 腐肉堆积力量加成"
    
    "DOTA_Tooltip_ability_mjz_pudge_rot"	            "腐烂"
    "DOTA_Tooltip_ability_mjz_pudge_rot_Description"	"能够造成持续伤害并减缓敌人移动速度的毒性云雾——同时对敌军和自身造成伤害。"
    "DOTA_Tooltip_ability_mjz_pudge_rot_Lore"	        "从屠夫腐烂肿胀的肉体中放出的有毒气体，气味恶心的令人窒息。"
    "DOTA_Tooltip_ability_mjz_pudge_rot_rot_radius"	        "作用范围："
    "DOTA_Tooltip_ability_mjz_pudge_rot_rot_slow"	        "%移动速度减缓："
    "DOTA_Tooltip_ability_mjz_pudge_rot_base_damage"	     "基础伤害："
    "DOTA_Tooltip_ability_mjz_pudge_rot_health_damage_pct"	"%当前生命值伤害："
    "DOTA_Tooltip_ability_mjz_pudge_rot_Note0"	"使用腐烂不会打断持续施法。"
    "DOTA_Tooltip_ability_mjz_pudge_rot_Note1"	"腐烂能伤害隐身单位。"
    "DOTA_Tooltip_ability_mjz_pudge_rot_Note2"	"即使帕吉在开启腐烂后被沉默，腐烂也不会关闭。"
    "DOTA_Tooltip_ability_mjz_pudge_rot_Note3"	"帕吉可以用该技能将自己反补。"
    "DOTA_Tooltip_modifier_mjz_pudge_rot"	            "腐烂"
    "DOTA_Tooltip_modifier_mjz_pudge_rot_Description"	"每秒对范围内所有单位造成伤害。"
    "DOTA_Tooltip_modifier_mjz_pudge_rot_effect"	            "腐烂"
    "DOTA_Tooltip_modifier_mjz_pudge_rot_effect_Description"	"移动速度减缓 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%。"
    "DOTA_Tooltip_ability_special_bonus_unique_mjz_pudge_rot_damage"	"+40 腐烂基础伤害"
    "DOTA_Tooltip_ability_special_bonus_unique_mjz_pudge_rot_health"	"+4% 腐烂生命值伤害"
        
	"DOTA_Tooltip_ability_mjz_pugna_nether_ward"				    "幽冥守卫"
	"DOTA_Tooltip_ability_mjz_pugna_nether_ward_Description"	    "帕格纳在目标地点放置一个幽冥守卫。守卫每 %interval% 秒，对附近的敌人造成伤害。伤害是基于你的智力。"
	"DOTA_Tooltip_ability_mjz_pugna_nether_ward_Lore"				"还在喇嘛寺里时，帕格纳就学会了操控富有幽冥魔力的守卫来支配他的同学。"
	"DOTA_Tooltip_ability_mjz_pugna_nether_ward_radius"		   		"守卫攻击距离："
	"DOTA_Tooltip_ability_mjz_pugna_nether_ward_base_damage"	   			"基础伤害："
	"DOTA_Tooltip_ability_mjz_pugna_nether_ward_intelligence_damage"	    "%智力额外伤害："
	"DOTA_Tooltip_ability_mjz_pugna_nether_ward_attacks_to_destroy"			"摧毁所需攻击次数："
	"DOTA_Tooltip_ability_mjz_pugna_nether_ward_Note0"				"幽冥守卫拥有4点生命值。敌人每次攻击将损失1点生命值。"
	"DOTA_Tooltip_ability_special_bonus_unique_mjz_pugna_nether_ward_intelligence"	"+80% 幽冥守卫智力伤害"
	"npc_dota_mjz_pugna_nether_ward"								"幽冥守卫"    
"DOTA_Tooltip_ability_mjz_queenofpain_sonic_wave"					"超声冲击波"
"DOTA_Tooltip_ability_mjz_queenofpain_sonic_wave_Description"		"痛苦女王在她面前制造出强大的声波，对其轨迹上的所有敌人造成大量伤害，并将他们击退。

可用神杖升级。"
"DOTA_Tooltip_ability_mjz_queenofpain_sonic_wave_Lore"				"她最为剧烈的折磨，阿卡莎的超声冲击波让她可怜的敌人从痛苦中得到解脱。"
"DOTA_Tooltip_ability_mjz_queenofpain_sonic_wave_final_aoe"			"声波最大范围："
"DOTA_Tooltip_ability_mjz_queenofpain_sonic_wave_damage"			"基础伤害："
"DOTA_Tooltip_ability_mjz_queenofpain_sonic_wave_damage_scepter"	"神杖升级伤害："
"DOTA_Tooltip_ability_mjz_queenofpain_sonic_wave_intelligence_damage"			"%智力伤害："
"DOTA_Tooltip_ability_mjz_queenofpain_sonic_wave_mana_cost_pct"			"%魔法消耗："
"DOTA_Tooltip_ability_mjz_queenofpain_sonic_wave_aghanim_description"	"提高伤害。"
"DOTA_Tooltip_ability_mjz_queenofpain_sonic_wave_Note0"					"超声冲击波最远能伤害距离1150码的单位。"    
	"DOTA_Tooltip_ability_mjz_rattletrap_rocket_flare"				"照明火箭"
	"DOTA_Tooltip_ability_mjz_rattletrap_rocket_flare_Description"	"向目标区域发射照明弹，对区域内敌人造成伤害并提供%duration%秒的视野。"
	"DOTA_Tooltip_ability_mjz_rattletrap_rocket_flare_Lore"			"最初用作节日的焰火，现在成了侦察和轰炸敌人的工具。"
	"DOTA_Tooltip_ability_mjz_rattletrap_rocket_flare_cast_range"		"施法距离："
	"DOTA_Tooltip_ability_mjz_rattletrap_rocket_flare_radius"			"作用范围："
	"DOTA_Tooltip_ability_mjz_rattletrap_rocket_flare_damage"			"伤害："    
	"DOTA_Tooltip_ability_mjz_razor_unstable_current"				    "不稳定电流"
	"DOTA_Tooltip_ability_mjz_razor_unstable_current_Description"	    "被动提升剃刀的移动速度，每隔若干时间对区域内所有单位造成若干伤害。

可用神杖升级。"
	"DOTA_Tooltip_ability_mjz_razor_unstable_current_Aghanim_Description"	    "减少伤害间隔，扩大作用范围。"
	"DOTA_Tooltip_ability_mjz_razor_unstable_current_Lore"	    		"仅仅是靠近闪电幽魂就会体验免费的电击疗法。"
	"DOTA_Tooltip_ability_mjz_razor_unstable_current_Note0"	    		""
	"DOTA_Tooltip_ability_mjz_razor_unstable_current_radius"					"范围："
	"DOTA_Tooltip_ability_mjz_razor_unstable_current_movement_speed_pct"		"%移动速度加成："
	"DOTA_Tooltip_ability_mjz_razor_unstable_current_passive_area_damage"		"基础伤害："
	"DOTA_Tooltip_ability_mjz_razor_unstable_current_attack_damage_pct"			"%攻击力伤害："
	"DOTA_Tooltip_ability_mjz_razor_unstable_current_passive_area_interval"		"伤害间隔："
	"DOTA_Tooltip_ability_mjz_razor_unstable_current_radius_scepter"					"神杖升级范围："
	"DOTA_Tooltip_ability_mjz_razor_unstable_current_passive_area_interval_scepter"		"神杖升级伤害间隔："
	    
	"DOTA_Tooltip_ability_mjz_riki_backstab"				    "背刺"
	"DOTA_Tooltip_ability_mjz_riki_backstab_Description"	    "发动攻击时，会附加基于敏捷的额外伤害。"
	"DOTA_Tooltip_ability_mjz_riki_backstab_Lore"	    		"隐形刺客从不忌讳使用肮脏的战斗手法，尤其擅长从对手的背后发动攻击。"
	"DOTA_Tooltip_ability_mjz_riki_backstab_agility_damage"		"%敏捷伤害系数："
	"DOTA_Tooltip_ability_mjz_riki_backstab_health_regen"		"生命恢复加成："
	    
	"DOTA_Tooltip_ability_mjz_sandking_epicenter"	"地震"
	"DOTA_Tooltip_ability_mjz_sandking_epicenter_Description"	"持续施法 - 在2秒吟唱后，沙王向地中发送扰动，引起大地剧烈震动。所有范围内的敌人会受到伤害并被减速。每次后续震击都会提高伤害传播半径。"
	"DOTA_Tooltip_ability_mjz_sandking_epicenter_Lore"	"许多探险家丧生于闪烁荒原的流沙。"
	"DOTA_Tooltip_ability_mjz_sandking_epicenter_epicenter_pulses"		"震击次数："
	"DOTA_Tooltip_ability_mjz_sandking_epicenter_epicenter_damage"		"每波伤害："
	"DOTA_Tooltip_ability_mjz_sandking_epicenter_str_damage_pct"		"%额外力量伤害："
	"DOTA_Tooltip_ability_mjz_sandking_epicenter_epicenter_slow"		"%移动速度减缓："
	"DOTA_Tooltip_ability_mjz_sandking_epicenter_epicenter_slow_as"		"攻击速度降低："
	"DOTA_Tooltip_ability_mjz_sandking_epicenter_epicenter_slow_duration"	"减速持续时间："
	"DOTA_Tooltip_ability_mjz_sandking_epicenter_Note0"		"地震波将以沙王为中心，而不是他施放技能的地点。"
	"DOTA_Tooltip_ability_mjz_sandking_epicenter_Note1"		"地震波的作用范围将会逐渐增大：300 - 2000。"
	"DOTA_Tooltip_modifier_mjz_sandking_epicenter"					"地震"
	"DOTA_Tooltip_modifier_mjz_sandking_epicenter_Description"		"向大地发出震颤，造成范围伤害和减速。"
	"DOTA_Tooltip_modifier_mjz_sandking_epicenter_slow"					"地震减速"
	"DOTA_Tooltip_modifier_mjz_sandking_epicenter_slow_Description"		"移动速度减缓%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%。攻击速度降低%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%。"
	"DOTA_Tooltip_ability_special_bonus_unique_mjz_sandking_epicenter_pulses"	"+10 地震波数"
	"DOTA_Tooltip_ability_special_bonus_unique_mjz_sandking_epicenter_strength"	"+50% 地震力量伤害"    
	"DOTA_Tooltip_ability_mjz_shredder_reactive_armor"				"活性护甲"
	"DOTA_Tooltip_ability_mjz_shredder_reactive_armor_Description"	"伐木机每受到一次伤害，他的生命恢复、护甲值和魔法抗性都会提升。"
	"DOTA_Tooltip_ability_mjz_shredder_reactive_armor_Lore"			"锯齿机器上的设备可以用强化防御应对轻微的触碰。"
	"DOTA_Tooltip_ability_mjz_shredder_reactive_armor_bonus_armor"			"额外护甲："
	"DOTA_Tooltip_ability_mjz_shredder_reactive_armor_bonus_magic_resist"	"额外魔抗："
	"DOTA_Tooltip_ability_mjz_shredder_reactive_armor_bonus_hp_regen"		"额外生命恢复："
	"DOTA_Tooltip_ability_mjz_shredder_reactive_armor_stack_limit"			"最大叠加次数："
	"DOTA_Tooltip_ability_mjz_shredder_reactive_armor_stack_duration"		"单次效果持续时间："
	"DOTA_Tooltip_modifier_mjz_shredder_reactive_armor"					"活性护甲"
	"DOTA_Tooltip_modifier_mjz_shredder_reactive_armor_Description"		"每次叠加均获得额外护甲、魔法抗性和生命恢复。"
	"DOTA_Tooltip_ability_special_bonus_unique_mjz_shredder_reactive_armor_limit"			"+6 活性护甲叠加"		
	"DOTA_Tooltip_ability_mjz_shredder_whirling_death"				"死亡旋风"
	"DOTA_Tooltip_ability_mjz_shredder_whirling_death_Description"	"伐木机使极其锋利的刀刃飞旋，对敌人造成伤害并摧毁他周围的树木。"
	"DOTA_Tooltip_ability_mjz_shredder_whirling_death_Lore"			"当瑞兹拉克被梦魇般的藤蔓和植物包围的情况下，他马上就拿起了链锯自卫。"
	"DOTA_Tooltip_ability_mjz_shredder_whirling_death_radius"			"作用范围："
	"DOTA_Tooltip_ability_mjz_shredder_whirling_death_base_damage"		"基础伤害："
	"DOTA_Tooltip_ability_mjz_shredder_whirling_death_str_damage_pct"	"%额外力量伤害："
	"DOTA_Tooltip_ability_special_bonus_unique_mjz_shredder_whirling_death_strength"		"+100% 死亡旋风力量伤害"
	
	"DOTA_Tooltip_ability_mjz_silencer_glaives_of_wisdom"				"智慧之刃"
	"DOTA_Tooltip_ability_mjz_silencer_glaives_of_wisdom_Description"	"沉默术士用他的智慧强化刀刃，造成基于他智力值的额外伤害。

可用神杖升级。"
	"DOTA_Tooltip_ability_mjz_silencer_glaives_of_wisdom_Lore"			"尽管无法使用传统咒语，诺崇的风蚀之寒血统带给他一种诡异的智慧，他把它用在物理战斗上。"
	"DOTA_Tooltip_ability_mjz_silencer_glaives_of_wisdom_Aghanim_Description"	"智慧之刃有几率造成暴击伤害。"
	"DOTA_Tooltip_ability_mjz_silencer_glaives_of_wisdom_intellect_damage_pct"	"%智力值伤害系数："
	"DOTA_Tooltip_ability_mjz_silencer_glaives_of_wisdom_heap_range"			"敌人死亡范围："
	"DOTA_Tooltip_ability_mjz_silencer_glaives_of_wisdom_heap_amount"			"每次死亡智力加成："
	"DOTA_Tooltip_ability_mjz_silencer_glaives_of_wisdom_heap_amount_hero"		"每次死亡智力加成（英雄）： "
	"DOTA_Tooltip_ability_mjz_silencer_glaives_of_wisdom_crit_chance_scepter"			"%神杖升级暴击几率："
	"DOTA_Tooltip_ability_mjz_silencer_glaives_of_wisdom_crit_multiplier_scepter"		"%神杖升级暴击伤害："
	"DOTA_Tooltip_modifier_mjz_silencer_glaives_of_wisdom_heap"				"智力堆积"
	"DOTA_Tooltip_modifier_mjz_silencer_glaives_of_wisdom_heap_Description"	"任何敌方在925范围内死亡，沉默术士就能获得智力。"

	
	"DOTA_Tooltip_ability_mjz_silencer_global_silence"				"全领域静默"
	"DOTA_Tooltip_ability_mjz_silencer_global_silence_Description"	"沉默术士停止一切声音，阻止范围内所有敌方英雄和单位施法。"
	"DOTA_Tooltip_ability_mjz_silencer_global_silence_Lore"			"随着大地一震，所有的魔法和声音都停止了，诺崇实现了他的预言。"
	"DOTA_Tooltip_ability_mjz_silencer_global_silence_Note0"		"沉默效果对隐身和技能免疫单位有效，但是期间获得技能免疫状态将移除该效果。"
	"DOTA_Tooltip_ability_mjz_silencer_global_silence_radius"		"范围："
	"DOTA_Tooltip_ability_mjz_silencer_global_silence_duration"		"持续时间："
	"DOTA_Tooltip_ability_mjz_silencer_global_silence_slow_attack_speed"		"攻击速度减缓："
	"DOTA_Tooltip_ability_mjz_silencer_global_silence_slow_movement_speed_pct"	"%移动速度减缓："
	"DOTA_Tooltip_modifier_mjz_silencer_global_silence_debuff"				"全领域静默"
	"DOTA_Tooltip_modifier_mjz_silencer_global_silence_debuff_Description"	"你被沉默了！"

	    
	"DOTA_Tooltip_ability_mjz_skeleton_king_ghost"	"冥魂模式"
	"DOTA_Tooltip_ability_mjz_skeleton_king_ghost_Description"	"进入冥魂模式。"
	"DOTA_Tooltip_ability_mjz_skeleton_king_ghost_aghanim_description"			"神杖升级作用范围 %radius_% 。"
	"DOTA_Tooltip_ability_mjz_skeleton_king_ghost_scepter_radius"		"神杖升级作用范围："
	"DOTA_Tooltip_ability_mjz_skeleton_king_ghost_duration"		"持续时间："
	"DOTA_Tooltip_ability_mjz_skeleton_king_ghost_incoming_damage_per"		"%受到的伤害降低："
	"DOTA_Tooltip_ability_mjz_skeleton_king_ghost_manacost_reduction"		"%魔法消耗降低："
	"DOTA_Tooltip_modifier_mjz_skeleton_king_ghost"					"冥魂模式"
	"DOTA_Tooltip_modifier_mjz_skeleton_king_ghost_Description"		"伤害减少，魔法消耗降低。"
	"DOTA_Tooltip_ability_mjz_skywrath_mage_arcane_bolt"				"奥法鹰隼"
	"DOTA_Tooltip_ability_mjz_skywrath_mage_arcane_bolt_Description"	"天怒法师施放出缓慢移动的奥术鹰群，对敌方单位造成基于天怒法师智力值的伤害。"
	"DOTA_Tooltip_ability_mjz_skywrath_mage_arcane_bolt_Aghanim_Description"	"增加目标数量。"
	"DOTA_Tooltip_ability_mjz_skywrath_mage_arcane_bolt_Lore"			"面对苍白之巢内无穷的诡计，只有沉稳的聪明人才能幸存。"
	"DOTA_Tooltip_ability_mjz_skywrath_mage_arcane_bolt_cast_range"		"施法距离："
	"DOTA_Tooltip_ability_mjz_skywrath_mage_arcane_bolt_bolt_damage"	"基础伤害："
	"DOTA_Tooltip_ability_mjz_skywrath_mage_arcane_bolt_int_multiplier"	"智力伤害系数："
	"DOTA_Tooltip_ability_mjz_skywrath_mage_arcane_bolt_target_count"			"目标数量："
	"DOTA_Tooltip_ability_mjz_skywrath_mage_arcane_bolt_target_count_scepter"	"神杖升级目标数量："
	"DOTA_Tooltip_ability_mjz_skywrath_mage_arcane_bolt_search_radius"			"目标搜索范围："
	
"DOTA_Tooltip_ability_mjz_skywrath_mage_mystic_flare"					"神秘之耀"
"DOTA_Tooltip_ability_mjz_skywrath_mage_mystic_flare_Description"		"天怒法师运用终极魔法技能，召唤精准致命的奥术力场毁灭对手。%duration%秒期间对范围内所有敌方英雄造成大量伤害，伤害由所有英雄平摊。"
"DOTA_Tooltip_ability_mjz_skywrath_mage_mystic_flare_Lore"				"天怒一族中只有勤加修炼的法师才能将苍天塑造成这样的风暴。"
"DOTA_Tooltip_ability_mjz_skywrath_mage_mystic_flare_Note0"				"神秘之耀仅对英雄有效，幻象或非英雄单位将不会受到伤害。"
"DOTA_Tooltip_ability_mjz_skywrath_mage_mystic_flare_Note1"				"技能免疫状态下的敌人不会被均摊伤害。"
"DOTA_Tooltip_ability_mjz_skywrath_mage_mystic_flare_Note2"				"神秘之耀在没有敌方英雄时将对敌方小兵造成伤害。"
"DOTA_Tooltip_ability_mjz_skywrath_mage_mystic_flare_radius"			"作用范围："
"DOTA_Tooltip_ability_mjz_skywrath_mage_mystic_flare_duration"			"持续时间："
"DOTA_Tooltip_ability_mjz_skywrath_mage_mystic_flare_base_damage"			"基础伤害："
"DOTA_Tooltip_ability_mjz_skywrath_mage_mystic_flare_int_multiplier"		"智力伤害系数："
"DOTA_Tooltip_ability_mjz_skywrath_mage_mystic_flare_aghanim_description"		"每次天怒法师施放神秘之耀时，都会随机对附近%scepter_radius%范围内另一个敌人施放相同的技能。以英雄为首要目标。"
	"DOTA_Tooltip_ability_mjz_slardar_slithereen_crush"				"鱼人碎击"
	"DOTA_Tooltip_ability_mjz_slardar_slithereen_crush_Description"	"猛击地面，对附近地面单位造成伤害并眩晕。眩晕结束后还会受到减速。"
	"DOTA_Tooltip_ability_mjz_slardar_slithereen_crush_lore"			"强力的快速碎击，溅起的水浪打破最坚固的防御。"
	"DOTA_Tooltip_ability_mjz_slardar_slithereen_crush_radius"				"作用范围："
	"DOTA_Tooltip_ability_mjz_slardar_slithereen_crush_base_damage"			"基础伤害："
	"DOTA_Tooltip_ability_mjz_slardar_slithereen_crush_str_damage_pct"		"%额外力量伤害："
	"DOTA_Tooltip_ability_mjz_slardar_slithereen_crush_move_speed_slow"		"%移动速度减缓："
	"DOTA_Tooltip_ability_mjz_slardar_slithereen_crush_attack_speed_slow"	"攻击速度降低："
	"DOTA_Tooltip_ability_mjz_slardar_slithereen_crush_stun_duration"		"眩晕时间："
	"DOTA_Tooltip_ability_mjz_slardar_slithereen_crush_slow_duration"		"减速持续时间："
	"DOTA_Tooltip_modifier_mjz_slardar_slithereen_crush_slow"				"鱼人碎击减速"
	"DOTA_Tooltip_modifier_mjz_slardar_slithereen_crush_slow_Description"	"移动速度减缓%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%，攻击速度降低%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%。"
	"DOTA_Tooltip_ability_special_bonus_unique_mjz_slardar_slithereen_crush_strength"	"+{s:value}% 鱼人碎击力量伤害"
	"DOTA_Tooltip_ability_mjz_slardar_slithereen_crush_aghanim_description"						"斯拉达每次施放鱼人碎击都会产生一滩水洼，提供与河道相同的移动速度及其他加成。在水洼或河道中获得额外生命恢复、护甲和状态抗性。"
	"DOTA_Tooltip_ability_mjz_slardar_slithereen_crush_puddle_regen"						        "神杖升级生命恢复："		
	"DOTA_Tooltip_ability_mjz_slardar_slithereen_crush_puddle_armor"						        "神杖升级护甲加成："		
	"DOTA_Tooltip_ability_mjz_slardar_slithereen_crush_puddle_status_resistance"					"%神杖升级状态抗性："	
	"DOTA_Tooltip_modifier_mjz_slardar_slithereen_crush_aura_effect_friendly"					"鱼人碎击"
	"DOTA_Tooltip_modifier_mjz_slardar_slithereen_crush_aura_effect_friendly_Description"		"在水洼或河道中获得额外生命恢复、护甲和状态抗性。"    
	"DOTA_Tooltip_ability_mjz_slardar_sprint"				    "守卫冲刺"
	"DOTA_Tooltip_ability_mjz_slardar_sprint_Description"	    "斯拉达向前蜿行，移动速度和攻击速度得到显著提升。"
	"DOTA_Tooltip_ability_mjz_slardar_sprint_Lore"	    		"斯拉达从深海来到陆地后，发现有必要用强有力的尾巴冲刺来代替游泳。"
	"DOTA_Tooltip_ability_mjz_slardar_sprint_bonus_move_speed"			"%移动速度加成："
	"DOTA_Tooltip_ability_mjz_slardar_sprint_bonus_attack_speed"		"攻击速度加成："
	"DOTA_Tooltip_ability_mjz_slardar_sprint_health_cost_per_second"	"每秒生命消耗："
	"DOTA_Tooltip_modifier_mjz_slardar_sprint"					"守卫冲刺"
	"DOTA_Tooltip_modifier_mjz_slardar_sprint_Description"	   	"移动速度提升%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%，攻击速度提升%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%。"
	    
"DOTA_Tooltip_ability_mjz_slark_dark_pact"				"黑暗契约"
"DOTA_Tooltip_ability_mjz_slark_dark_pact_Description"	"短暂延迟后，斯拉克牺牲部分生命力，清除大部分负面状态并对自己和周围敌方单位造成伤害。斯拉克自身只受到造成的50%%伤害。

驱散类型：强驱散"
"DOTA_Tooltip_ability_mjz_slark_dark_pact_Lore"			"鱼人具有使鳍快速重新生长的能力，这样在重伤下也能救回自己的命。"
"DOTA_Tooltip_ability_mjz_slark_dark_pact_delay"		"施法延迟："
"DOTA_Tooltip_ability_mjz_slark_dark_pact_radius"		"作用范围："
"DOTA_Tooltip_ability_mjz_slark_dark_pact_base_damage"	"基础伤害："
"DOTA_Tooltip_ability_mjz_slark_dark_pact_health_damage_pct"	"%当前生命值伤害："
"DOTA_Tooltip_ability_mjz_slark_dark_pact_Note0"	"经过1.5秒施法延迟后，每隔0.1秒释放1道伤害波造成伤害，总共10道。"
"DOTA_Tooltip_ability_mjz_slark_dark_pact_Note1"	"每道伤害波还会移除斯拉克身上的负面效果。"
"DOTA_Tooltip_ability_mjz_slark_dark_pact_Note2"	"不能使用此技能自杀。"
"DOTA_Tooltip_ability_mjz_slark_dark_pact_Note3"	"如果斯拉克死亡，伤害波将停止释放。"
"DOTA_Tooltip_ability_special_bonus_unique_mjz_slark_dark_pact_damage"	"+200 黑暗契约伤害"    
	"DOTA_Tooltip_ability_mjz_slark_essence_shift"				    "能量转移"
	"DOTA_Tooltip_ability_mjz_slark_essence_shift_Description"	    "每次杀死一个敌方单位，或者附近有敌方单位死亡时，他将获得额外的属性。开启后下次攻击时，将会连续攻击敌人数次。"
	"DOTA_Tooltip_ability_mjz_slark_essence_shift_Lore"	    		"对敌人每攻击一次，斯拉克对他们的弱点就多了解一分。"
	"DOTA_Tooltip_ability_mjz_slark_essence_shift_Note0"	    	""
	"DOTA_Tooltip_ability_mjz_slark_essence_shift_heap_range"		"敌人死亡范围："
	"DOTA_Tooltip_ability_mjz_slark_essence_shift_heap_amount"		"每次死亡敏捷加成："
	"DOTA_Tooltip_ability_mjz_slark_essence_shift_attack_count"		"快速攻击次数："
	"DOTA_Tooltip_modifier_mjz_slark_essence_shift_heap"					"能量转移"
	"DOTA_Tooltip_modifier_mjz_slark_essence_shift_heap_Description"	   	"获得额外的属性。
 力量 +%dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%, 敏捷 +%dMODIFIER_PROPERTY_STATS_AGILITY_BONUS%, 智力 +%dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS% "
	"DOTA_Tooltip_modifier_mjz_slark_essence_shift_fast_attack"					"快速攻击"
	"DOTA_Tooltip_modifier_mjz_slark_essence_shift_fast_attack_Description"	   	"快速攻击敌人%dMODIFIER_PROPERTY_TOOLTIP%次。 "
	"DOTA_Tooltip_ability_special_bonus_unique_mjz_slark_essence_shift_attack_count"	"+{s:value} 能量转移攻击次数"
	    
	"DOTA_Tooltip_ability_mjz_sniper_assassinate"				"暗杀"
	"DOTA_Tooltip_ability_mjz_sniper_assassinate_Description"	"狙击手锁定一个目标敌方单位，%total_cast_time_tooltip%秒后，从远距离射出一发毁灭性的子弹，远距离造成伤害。<font color='#70EA72'>弹头击中目标后，会眩晕%stun_duration%秒，并且弹片呈锥形散开，对主目标后的单位造成半额伤害。</font> 

可用神杖升级。"
